get_anocheilon_feature,get_labium_feature,get_lip_feature,get_nasalBridge_feature,Disbursed,ID
36.01,46.01,55.13,75.02666193,0,236
14.14,29.27,70.64,39.81205847,0,237
30.02,40.11,67.22,64.12487817,0,238
16,26.02,59.66,29.27456234,0,239
18.03,30,56.32,46.09772229,0,240
21,35,58.93,36.01388621,0,241
20.02,28.07,56.43,59.00847397,0,242
27,36,51.1,59,1,243
40,40,49.36,67.06713055,0,244
21.02,35.01,39.72,58.30951895,1,245
14,19,52.9,24.0208243,0,246
29.15,35.06,45.95,67.26812024,1,247
11,20,78.45,24,0,248
12.04,18.03,88.06,27.07397274,0,249
26,39,63.67,43.10452412,0,250
26.02,37.01,53.37,44.01136217,0,251
19.03,34,48.45,44.01136217,0,252
29.02,32.06,57.36,70.17834424,1,253
14.04,24,55.35,33.01514804,0,254
27.02,42.05,65.67,49.09175083,0,255
26.02,38.01,49.61,56,1,256
19,33.06,74.83,41.30375286,0,257
34.01,50.04,75.71,67.26812024,1,258
17,40.01,56.44,32,0,259
29.07,38.12,48.29,53.60037313,0,260
11.05,23,44.22,25.07987241,0,261
33.06,37.05,43.38,65.27633568,0,262
12,19.03,37.92,24.33105012,0,263
15.13,22.02,50.26,43.10452412,0,264
10,19.03,36.39,24,0,265
15,19.03,78.02,23,0,266
18.03,26,63.04,43,0,267
31,40.01,46.93,51.0881591,1,268
14,22,65.92,31.01612484,0,269
24.02,33.02,69.27,54.03702434,0,270
27.02,35,57.73,51.15662225,0,271
12,20.02,56.48,31.01612484,0,272
15,23,54.59,28.01785145,0,273
29,39,81.36,43.10452412,0,274
24.02,35,50.59,42.10700654,0,275
9.06,16,53.56,29.01723626,0,276
31.06,34.13,70.51,68.26419266,1,277
15,27.02,78.25,34.0147027,0,278
32.02,36.06,71.84,55,0,279
12,22.02,53.72,28.01785145,0,280
24.08,38.05,61.83,45,0,281
11,16,48.96,30.06659276,0,282
24.02,43.01,54.95,42.01190308,0,283
19.03,30.02,52.46,48.09365863,0,284
24.02,34,69.32,44.10215414,0,285
14,24,64.43,25,0,286
19.03,35.13,57.91,43.01162634,0,287
22.02,29.07,49.72,66.48308055,0,288
10.05,16.03,52,25.07987241,0,289
32.14,44.18,55.13,67.89698079,0,290
30.02,36.01,60.04,68,0,291
19,31.02,37.87,41.0487515,0,292
11.05,18.03,64.93,26.68332813,0,293
15.03,25,56.31,39.01281841,0,294
16.03,29.15,40.85,48.09365863,0,295
14,20.02,75.65,29,0,296
26.08,40.11,50.64,65.49045732,0,297
33.02,43.05,56.6,53.08483776,1,298
23.02,29,55.5,46.01086828,0,299
23.09,41.05,72.42,53.00943312,1,300
18.03,32.06,36.85,44.28317965,0,301
18.03,33,59.27,45.01110974,0,302
12.04,19.1,32.25,46.09772229,0,303
36,43.01,61.88,63,1,304
13.04,20.02,47.1,25.01999201,0,305
20.02,40.01,49.43,46.27094121,0,306
17,22.02,39.52,26.07680962,0,307
9.06,19,41.12,23.02172887,0,308
20.02,35.06,56.09,50.24937811,1,309
19,32,74.81,39.05124838,0,310
23,30.02,47.3,43,0,311
16,35,67.17,44.10215414,0,312
29,32,53.82,59.13543777,1,313
18,37,68.42,37.01351105,0,314
20.02,32.06,84.71,38.05259518,0,315
30,46,56.26,70.0285656,1,316
20.02,29.07,79.15,35.0142828,0,317
15.03,34,56.09,40.04996879,0,318
19,38.01,35.13,42.01190308,0,319
16.28,28.44,38.07,52.39274759,0,320
24.02,40.01,50.05,46.38965402,0,321
24.19,37.34,39.65,53.60037313,1,322
13,16.03,56.72,28.01785145,0,323
27.02,47.01,64.38,45.01110974,0,324
17,32.02,59.37,42,0,325
27.02,39.01,58.68,50.009999,0,326
22.09,30.02,47.6,58.13776741,1,327
39.01,48.01,56.49,58.03447251,0,328
31.02,37.01,53.26,56.0357029,1,329
14,20.02,48.57,29.01723626,0,330
20,31,34.75,42.04759208,0,331
23,40.01,56.75,45.01110974,0,332
31.02,46.01,45.88,50.03998401,0,333
21,37.01,50.17,43.0464865,0,334
37.01,48.01,53.41,65,1,335
12,19.03,64.1,22.02271555,0,336
15,22,48.69,29.06888371,0,337
28.02,40.11,45.49,49.64876635,0,338
13,21,98.85,20,0,339
13,21.02,58.16,29.01723626,0,340
24.02,45.04,57.67,70.06425622,1,341
14,33,54.56,39.05124838,0,342
8,16,27.67,25,0,343
13,22,81.73,25,0,344
14,30.02,54.3,50.15974482,0,345
14,18.03,42.05,28.63564213,0,346
24,38,46.19,41.10960958,0,347
21,37.01,51.16,37.01351105,0,348
26.02,44.01,52.02,69.02897942,1,349
20.02,29.15,39.88,43.56604182,0,350
